doc,index,file,n_tokens,n_gold,gold
doc1,0,2011.pdf,5700,14,"categoría, chachapuya, civilizado, diluvio, etnia, identidad, incario, movilidad, mítico, oral, purum, simbolismir, tradición, transformación"
doc2,1,Chachapoyas Resort. una experiencia espléndida.pdf,5756,5,"cultura, estrategia, experiencia, naturaleza, turismo"
doc3,2,Cultura turisticay conservación de recurso turistico.pdf,5113,4,"conservación, cultura, recurso, turístico"
doc4,3,DESARROLLO DE LA ACTIVIDAD TURISTICA.pdf,2463,7,"actividad, amazona, cultural, economía, regional, turismo, turístico"
doc5,4,DISEÑO DE UN ECOLODGE VIVENCIAL-CHACHAPOYAS.pdf,15782,5,"ecolodge, material, tradicional, turismo, vernácular"
doc6,5,Dialnet-GestionPublicaDelTurismoEnLaSatisfaccionDeLosTuris-9864976.pdf,2356,11,"arqueológico, calidad, complejo, gestión, kuelap, mercadeo, público, satisfacción, servicio, turismo, turista"
doc7,6,EVALUACIÓN DE LA CULTURA TURÍSTICA Y SU INFLUENC.pdf,4547,7,"actitud, comportamiento, conocimiento, cultura, sostenible, turismo, turístico"
doc8,7,Eevaluaci_on de los recursos turisticos.magdalena.pdf,2731,6,"arqueológico, chachapoyas, cultura, recurso, turístico, vivo"
doc9,8,Gestion_Municipal_y_Desarrollo_Turistico_de_la_ciu.pdf,1830,6,"diseño, municipal, organizacional, planificación, políticas, públicas"
doc10,9,Innovación MYPES en turismo.pdf,6737,5,"competitividad, innovación, myp, sector, turismo"
doc12,11,Orosco Tuesta Lesly Fiorela.pdf,3385,4,"oferta, satisfacción, turismo, turista"
doc14,13,"POTENCIAL TURISTÍCO DEL DISTRITO DE CHUQUIBAMBA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO DE LA LIBERT.pdf",12865,6,"categorización, inventario, jerarquización, potencial, recurso, turístico"
doc16,15,Potencial turistico colcamar.pdf,3469,7,"amazonas, arqueológico, comunidad, natural, paisaje, sitio, turismo"
doc17,16,Public Management of Tourism in Tourist Satisfaction.pdf,2501,11,"archaeological, complex, kuelap, management, marketing, public, quality, satisfaction, service, tourism, tourist"
doc18,17,TURISMO Y LAS CONDICIONES SOCIOECONÓMICAS.pdf,6023,7,"acceso, básico, ingreso, pobreza, relación, servicio, turismo"
doc19,18,Turismo rural comunitario en kuelap.pdf,879,5,"comunitario, desarrollo, rural, sostenible, turismo"
doc20,19,Turismo sostenioble.pdf,3051,6,"comunidad, desarrollo, infraestructura, nativo, sostenible, turismo"
doc21,20,VALORACIÓN ECONÓMICA DEL COMPLEJO ARQUEOLÓGICO DE KUELAP.pdf,5248,9,"arqueológico, complejo, consumidor, costo, económico, excedente, individual, valoración, viaje"
doc22,21,"análisis del turismo sostenible en la provincia de Utcubamba, Amazonas-Perú.pdf",2396,6,"alternativo, aventura, rural, sostenible, turismo, vivencial"
doc23,22,capacidad de carga turística.pdf,6033,4,"capacidad, carga, conservación, turismo"
doc24,23,estategias de marketin. desarrollo turistico.pdf,5933,10,"agencias, correlacional, desarrollo, distrito, estrategias, estudio, levanto, marketing, turístico, viaje"
doc25,24,festividades folkloricas y actividades turisticas.pdf,5801,6,"actividad, festividad, folclore, folclórico, turismo, turístico"
doc26,25,guias de turismo en chachapoyas.pdf,5142,6,"calidad, guía, satisfacción, servicio, turismo, turista"
doc27,26,identidad cultural y artesania.pdf,5313,4,"artesanir, cultural, identidad, textil"
doc28,27,paisajes culturales.pdf,7064,7,"actor, cultural, desarrollo, local, paisajes, turista, turístico"
doc29,28,percepción del impacto.pdf,2336,7,"ambiental, conservación, desarrollo, impacto, percepción, sostenible, turismo"
doc30,29,pilasres del turismo.pdf,9315,5,"administración, ahp, pilar, público, turismo"
doc31,30,redes sociales y turismo.pdf,4142,4,"redes, social, turismo, venta"
doc32,31,turismo alternativo.folklore.pdf,10747,8,"alternativo, diversificación, estrategia, folclore, funerario, oferta, turismo, turístico"
doc33,32,turismo comunitario.san bartolo.pdf,9171,4,"comunitario, desarrollo, sostenible, turismo"
